trial,dense_units,dropout,optimizer,lr,unfreeze_layers,alpha,accuracy,precision,recall,f1_score,weighted_score
1,512,0.36,sgd,0.000408207212033996,61,0.35,0.831852,0.845853,0.831852,0.829788,0.485684
2,256,0.4,adam,0.0005711214409132686,34,0.75,0.912099,0.91794,0.912099,0.912876,0.697123
3,512,0.3,sgd,0.00046404924745583573,73,0.35,0.861235,0.873822,0.861235,0.860241,0.557553
4,128,0.46,rmsprop,1.3364392600330285e-05,98,0.35,0.874568,0.886369,0.874568,0.872442,0.591477
5,128,0.49,rmsprop,0.004505164654025286,63,1.0,0.956049,0.957277,0.956049,0.956095,0.836564
6,512,0.44,adam,0.0034911963642033327,69,0.5,0.929877,0.935852,0.929877,0.930127,0.752662
7,128,0.37,adam,0.0006984056472278162,73,1.0,0.939012,0.941364,0.939012,0.93925,0.779617
8,128,0.42,adam,0.0010931953831373527,60,0.35,0.915802,0.920467,0.915802,0.916223,0.707315
9,256,0.31,sgd,0.00016363376207560515,58,1.0,0.899753,0.905188,0.899753,0.900176,0.65965
10,512,0.4,rmsprop,0.00025451656016550793,97,1.0,0.952346,0.953433,0.952346,0.952561,0.823706
11,128,0.59,sgd,0.003389311036675286,38,0.75,0.91037,0.917685,0.91037,0.910728,0.692658
12,128,0.54,sgd,0.004427822775493768,39,1.0,0.902963,0.909067,0.902963,0.903752,0.669862
13,128,0.58,rmsprop,1.0761267573185484e-05,40,0.75,0.896049,0.906123,0.896049,0.896186,0.652002
14,256,0.6,rmsprop,1e-05,30,0.5,0.850864,0.862453,0.850864,0.850254,0.53089
15,256,0.3,rmsprop,1e-05,30,1.0,0.840494,0.850301,0.840494,0.841518,0.505481
